t1,t2,similarity
64706,64707,1.0
39405,39406,1.0
64540,64541,1.0
124634,124635,1.0
172868,172869,1.0
34973,34974,1.0
99540,99541,1.0
94662,94663,1.0
90783,90784,1.0
163264,163265,1.0
31186,31187,1.0
39000,39001,1.0
81159,81160,1.0
143097,143098,1.0
28042,28043,1.0
52146,52147,1.0
70651,70652,1.0
90404,90405,1.0
37982,37983,1.0
2919,2920,1.0
54808,54809,1.0
117065,117066,1.0
44569,44570,1.0
178077,178078,1.0
183395,183396,1.0
52326,52327,1.0
34201,34202,1.0
4737,4738,1.0
174556,174557,1.0
140958,140959,1.0
179454,179455,1.0
67175,67176,1.0
48142,48143,1.0
141088,141089,1.0
263,264,1.0
41660,41661,1.0
147005,147006,1.0
127170,127171,1.0
43407,43408,1.0
84508,84509,1.0
127560,127561,1.0
75022,75023,1.0
47041,47042,1.0
140162,140163,1.0
25284,25285,1.0
20272,20273,1.0
109344,109345,1.0
120198,120199,1.0
72881,72882,1.0
134746,134747,1.0
178138,178139,1.0
85643,85644,1.0
167176,167177,1.0
4468,4469,1.0
137297,137298,1.0
40880,40881,1.0
46736,46737,1.0
56794,56795,1.0
118471,118472,1.0
31622,31623,1.0
42350,42351,1.0
20455,20456,1.0
99301,99302,1.0
263,264,1.0
25284,25285,1.0
131912,131913,1.0
70223,70224,1.0
88581,88582,1.0
112195,112196,1.0
39484,39485,1.0
108229,108230,1.0
177786,177787,1.0
186812,186813,1.0
62339,62340,1.0
97093,97094,1.0
82446,82447,1.0
48571,48572,1.0
46108,46109,1.0
25256,25257,1.0
103533,103534,1.0
64595,64596,1.0
84508,84509,1.0
26501,26502,1.0
34706,34707,1.0
25787,25788,1.0
78498,78499,1.0
150937,150938,1.0
137178,137179,1.0
43656,43657,1.0
31878,31879,1.0
113516,113517,1.0
137467,137468,1.0
125706,125707,1.0
27708,27709,1.0
139306,139307,1.0
167207,167208,1.0
92655,92656,1.0
170574,170575,1.0
40880,40881,1.0
10609,10610,1.0
81548,81549,1.0
25787,25788,1.0
137434,137435,1.0
48869,48870,1.0
38114,38115,1.0
144119,144120,1.0
124898,124899,1.0
157600,157601,1.0
128539,128540,1.0
179641,179642,1.0
1609,1610,1.0
188225,188226,1.0
167003,167004,1.0
2919,2920,1.0
1609,1610,1.0
115707,115708,1.0
58578,58579,1.0
76206,76207,1.0
86104,86105,1.0
155078,155079,1.0
62529,62530,1.0
142871,142872,1.0
60184,60185,1.0
99540,99541,1.0
60184,60185,1.0
88169,88170,1.0
52374,52375,1.0
82004,82005,1.0
189031,189032,1.0
25256,25257,1.0
125329,125330,1.0
123890,123891,1.0
34102,34103,1.0
96738,96739,1.0
67175,67176,1.0
152116,152117,1.0
10543,10544,1.0
2020,2021,1.0
20455,20456,1.0
1851,1852,1.0
8470,8471,1.0
176016,176017,1.0
22077,22078,1.0
139730,139731,1.0
93319,93320,1.0
70651,70652,1.0
1851,1852,1.0
20300,20301,1.0
6348,6349,1.0
9762,9763,1.0
80015,80016,1.0
138558,138559,1.0
27926,27927,1.0
131386,131387,1.0
34684,34685,1.0
79607,79608,1.0
145313,145314,1.0
24403,24404,1.0
149705,149706,1.0
57181,57182,1.0
124871,124872,1.0
36885,36886,1.0
121176,121177,1.0
136129,136130,1.0
38381,38382,1.0
46159,46160,1.0
4468,4469,1.0
48571,48572,1.0
167256,167257,1.0
138809,138810,1.0
83612,83613,1.0
62418,62419,1.0
172868,172869,1.0
127170,127171,1.0
186025,186026,1.0
147006,147007,1.0
22532,22533,1.0
114553,114554,1.0
136667,136668,1.0
125440,125441,1.0
9936,9937,1.0
147006,147007,1.0
109875,109876,1.0
167176,167177,1.0
46053,46054,1.0
119288,119289,1.0
102913,102914,1.0
180002,180003,1.0
99301,99302,1.0
139423,139424,1.0
102987,102988,1.0
40388,40389,1.0
172903,172904,1.0
62339,62340,1.0
79848,79849,1.0
158613,158614,1.0
22442,22443,1.0
139415,139416,1.0
109875,109876,1.0
65552,65553,1.0
20642,20643,1.0
97138,97139,1.0
142735,142736,1.0
23812,23813,1.0
22077,22078,1.0
79803,79804,1.0
28505,28506,1.0
82004,82005,1.0
94668,94669,1.0
57451,57452,1.0
17725,17726,1.0
44930,44931,1.0
81580,81581,1.0
22532,22533,1.0
32127,32128,1.0
42359,42360,1.0
46203,46204,1.0
74317,74318,1.0
27065,27066,1.0
42359,42360,1.0
6011,6012,1.0
96738,96739,1.0
141088,141089,1.0
157724,157725,1.0
88646,88647,1.0
46670,46671,1.0
83612,83613,1.0
107323,107324,1.0
100432,100433,1.0
27065,27066,1.0
65479,65480,1.0
97135,97136,1.0
137467,137468,1.0
72211,72212,1.0
28042,28043,1.0
163974,163975,1.0
19678,19679,1.0
103277,103278,1.0
159940,159941,1.0
46053,46054,1.0
185930,185931,1.0
63847,63848,1.0
28042,28043,1.0
2875,2876,1.0
30584,30585,1.0
134454,134455,1.0
80015,80016,1.0
77663,77664,1.0
46927,46928,1.0
22192,22193,1.0
62779,62780,1.0
9086,9087,1.0
145313,145314,1.0
57021,57022,1.0
62339,62340,1.0
86104,86105,1.0
116590,116591,1.0
94662,94663,1.0
9086,9087,1.0
172811,172812,1.0
40976,40977,1.0
2875,2876,1.0
158613,158614,1.0
105739,105740,1.0
54808,54809,1.0
43045,43046,1.0
124871,124872,1.0
104751,104752,1.0
141088,141089,1.0
143470,143471,1.0
108229,108230,1.0
10609,10610,1.0
71898,71899,1.0
89524,89525,1.0
97138,97139,1.0
