"---------------------> nnschellbykclusters SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 19, 't2': 507, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 0, 'used': 9177, 'hits_t1': 0, 'rules_t1': 9919, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 507, 't2': 39, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 550, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 39, 't2': 596, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 596, 't2': 43, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2227, 'used': 8473, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 43, 't2': 53, 'similar?': 0.79, 'premature_discard': 5199, 'discarded': 7426, 'used': 3274, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 3274, 'rules_t2': 7426}"
"{'t1': 53, 't2': 100, 'similar?': 0.79, 'premature_discard': 105, 'discarded': 2227, 'used': 8473, 'hits_t1': 3274, 'rules_t1': 7426, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 100, 't2': 426, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2227, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 426, 't2': 63, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2227, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 63, 't2': 770, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2113, 'used': 7806, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 7806, 'rules_t2': 2113}"
"{'t1': 770, 't2': 64, 'similar?': 0.62, 'premature_discard': 0, 'discarded': 4033, 'used': 6579, 'hits_t1': 7806, 'rules_t1': 2113, 'hits_t2': 6579, 'rules_t2': 4033}"
"{'t1': 64, 't2': 622, 'similar?': 0.42, 'premature_discard': 2335, 'discarded': 8409, 'used': 2250, 'hits_t1': 6579, 'rules_t1': 4033, 'hits_t2': 2250, 'rules_t2': 8409}"
"{'t1': 622, 't2': 2, 'similar?': 0.69, 'premature_discard': 4729, 'discarded': 7776, 'used': 3191, 'hits_t1': 2250, 'rules_t1': 8409, 'hits_t2': 3191, 'rules_t2': 8140}"
"{'t1': 2, 't2': 614, 'similar?': 0.63, 'premature_discard': 7320, 'discarded': 11350, 'used': 0, 'hits_t1': 3191, 'rules_t1': 8140, 'hits_t2': 0, 'rules_t2': 11437}"
"{'t1': 614, 't2': 130, 'similar?': 0.69, 'premature_discard': 7880, 'discarded': 11382, 'used': 0, 'hits_t1': 0, 'rules_t1': 11437, 'hits_t2': 0, 'rules_t2': 11382}"
