"---------------------> nnschellforall SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (64) -----------------"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 3, 'similar?': 0.53, 'premature_discard': 6118, 'discarded': 11365, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 35, 'similar?': 0.39, 'premature_discard': 4776, 'discarded': 11402, 'used': 0, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 0, 'rules_t2': 11467}"
"{'t1': 35, 't2': 36, 'similar?': 0.44, 'premature_discard': 5149, 'discarded': 11387, 'used': 0, 'hits_t1': 0, 'rules_t1': 11467, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 52, 'similar?': 0.56, 'premature_discard': 4851, 'discarded': 9884, 'used': 816, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 816, 'rules_t2': 9884}"
"{'t1': 52, 't2': 55, 'similar?': 0.61, 'premature_discard': 0, 'discarded': 4121, 'used': 6579, 'hits_t1': 816, 'rules_t1': 9884, 'hits_t2': 6579, 'rules_t2': 4121}"
"{'t1': 55, 't2': 43, 'similar?': 0.56, 'premature_discard': 0, 'discarded': 4683, 'used': 6017, 'hits_t1': 6579, 'rules_t1': 4121, 'hits_t2': 6017, 'rules_t2': 4683}"
"{'t1': 43, 't2': 19, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 6017, 'rules_t1': 4683, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 19, 't2': 39, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 39, 't2': 63, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2227, 'used': 8473, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 63, 't2': 20, 'similar?': 0.61, 'premature_discard': 91, 'discarded': 3902, 'used': 6017, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 6017, 'rules_t2': 3902}"
"{'t1': 20, 't2': 46, 'similar?': 0.66, 'premature_discard': 0, 'discarded': 3160, 'used': 6017, 'hits_t1': 6017, 'rules_t1': 3902, 'hits_t2': 6017, 'rules_t2': 3160}"
"{'t1': 46, 't2': 49, 'similar?': 0.85, 'premature_discard': 0, 'discarded': 1371, 'used': 7806, 'hits_t1': 6017, 'rules_t1': 3160, 'hits_t2': 7806, 'rules_t2': 1371}"
"{'t1': 49, 't2': 7, 'similar?': 0.3, 'premature_discard': 325, 'discarded': 6726, 'used': 2978, 'hits_t1': 7806, 'rules_t1': 1371, 'hits_t2': 2978, 'rules_t2': 6726}"
"{'t1': 7, 't2': 14, 'similar?': 0.36, 'premature_discard': 482, 'discarded': 6644, 'used': 3682, 'hits_t1': 2978, 'rules_t1': 6726, 'hits_t2': 3682, 'rules_t2': 6644}"
"{'t1': 14, 't2': 6, 'similar?': 0.48, 'premature_discard': 60, 'discarded': 5349, 'used': 4991, 'hits_t1': 3682, 'rules_t1': 6644, 'hits_t2': 4991, 'rules_t2': 5349}"
"{'t1': 6, 't2': 50, 'similar?': 0.62, 'premature_discard': 408, 'discarded': 3981, 'used': 6579, 'hits_t1': 4991, 'rules_t1': 5349, 'hits_t2': 6579, 'rules_t2': 3981}"
"{'t1': 50, 't2': 24, 'similar?': 0.56, 'premature_discard': 0, 'discarded': 4313, 'used': 5488, 'hits_t1': 6579, 'rules_t1': 3981, 'hits_t2': 5488, 'rules_t2': 4313}"
"{'t1': 24, 't2': 26, 'similar?': 0.48, 'premature_discard': 225, 'discarded': 5362, 'used': 4991, 'hits_t1': 5488, 'rules_t1': 4313, 'hits_t2': 4991, 'rules_t2': 5362}"
"{'t1': 26, 't2': 54, 'similar?': 0.59, 'premature_discard': 40, 'discarded': 4254, 'used': 6017, 'hits_t1': 4991, 'rules_t1': 5362, 'hits_t2': 6017, 'rules_t2': 4254}"
"{'t1': 54, 't2': 28, 'similar?': 0.34, 'premature_discard': 0, 'discarded': 6462, 'used': 3303, 'hits_t1': 6017, 'rules_t1': 4254, 'hits_t2': 3303, 'rules_t2': 6462}"
"{'t1': 28, 't2': 56, 'similar?': 0.39, 'premature_discard': 171, 'discarded': 6380, 'used': 4089, 'hits_t1': 3303, 'rules_t1': 6462, 'hits_t2': 4089, 'rules_t2': 6380}"
"{'t1': 56, 't2': 4, 'similar?': 0.35, 'premature_discard': 0, 'discarded': 6786, 'used': 3682, 'hits_t1': 4089, 'rules_t1': 6380, 'hits_t2': 3682, 'rules_t2': 6786}"
"{'t1': 4, 't2': 47, 'similar?': 0.53, 'premature_discard': 0, 'discarded': 4954, 'used': 5488, 'hits_t1': 3682, 'rules_t1': 6786, 'hits_t2': 5488, 'rules_t2': 4954}"
"{'t1': 47, 't2': 16, 'similar?': 0.48, 'premature_discard': 0, 'discarded': 5461, 'used': 4991, 'hits_t1': 5488, 'rules_t1': 4954, 'hits_t2': 4991, 'rules_t2': 5461}"
"{'t1': 16, 't2': 37, 'similar?': 0.34, 'premature_discard': 235, 'discarded': 6498, 'used': 3303, 'hits_t1': 4991, 'rules_t1': 5461, 'hits_t2': 3303, 'rules_t2': 6498}"
"{'t1': 37, 't2': 34, 'similar?': 0.28, 'premature_discard': 284, 'discarded': 7472, 'used': 2951, 'hits_t1': 3303, 'rules_t1': 6498, 'hits_t2': 2951, 'rules_t2': 7472}"
"{'t1': 34, 't2': 13, 'similar?': 0.36, 'premature_discard': 144, 'discarded': 5872, 'used': 3303, 'hits_t1': 2951, 'rules_t1': 7472, 'hits_t2': 3303, 'rules_t2': 5872}"
"{'t1': 13, 't2': 5, 'similar?': 0.45, 'premature_discard': 0, 'discarded': 5088, 'used': 4089, 'hits_t1': 3303, 'rules_t1': 5872, 'hits_t2': 4089, 'rules_t2': 5088}"
"{'t1': 5, 't2': 18, 'similar?': 0.29, 'premature_discard': 0, 'discarded': 7398, 'used': 2951, 'hits_t1': 4089, 'rules_t1': 5088, 'hits_t2': 2951, 'rules_t2': 7398}"
"{'t1': 18, 't2': 23, 'similar?': 0.28, 'premature_discard': 105, 'discarded': 7543, 'used': 2951, 'hits_t1': 2951, 'rules_t1': 7398, 'hits_t2': 2951, 'rules_t2': 7543}"
"{'t1': 23, 't2': 30, 'similar?': 0.28, 'premature_discard': 73, 'discarded': 7700, 'used': 2951, 'hits_t1': 2951, 'rules_t1': 7543, 'hits_t2': 2951, 'rules_t2': 7700}"
"{'t1': 30, 't2': 41, 'similar?': 0.3, 'premature_discard': 78, 'discarded': 6956, 'used': 2951, 'hits_t1': 2951, 'rules_t1': 7700, 'hits_t2': 2951, 'rules_t2': 6956}"
"{'t1': 41, 't2': 31, 'similar?': 0.18, 'premature_discard': 120, 'discarded': 7286, 'used': 1561, 'hits_t1': 2951, 'rules_t1': 6956, 'hits_t2': 1561, 'rules_t2': 7286}"
"{'t1': 31, 't2': 32, 'similar?': 0.15, 'premature_discard': 904, 'discarded': 8663, 'used': 1561, 'hits_t1': 1561, 'rules_t1': 7286, 'hits_t2': 1561, 'rules_t2': 8663}"
"{'t1': 32, 't2': 59, 'similar?': 0.36, 'premature_discard': 0, 'discarded': 6532, 'used': 3682, 'hits_t1': 1561, 'rules_t1': 8663, 'hits_t2': 3682, 'rules_t2': 6532}"
"{'t1': 59, 't2': 17, 'similar?': 0.1, 'premature_discard': 823, 'discarded': 10426, 'used': 767, 'hits_t1': 3682, 'rules_t1': 6532, 'hits_t2': 767, 'rules_t2': 10511}"
"{'t1': 17, 't2': 22, 'similar?': 0.49, 'premature_discard': 5561, 'discarded': 11105, 'used': 0, 'hits_t1': 767, 'rules_t1': 10511, 'hits_t2': 0, 'rules_t2': 11105}"
"{'t1': 22, 't2': 58, 'similar?': 0.37, 'premature_discard': 4305, 'discarded': 11117, 'used': 0, 'hits_t1': 0, 'rules_t1': 11105, 'hits_t2': 0, 'rules_t2': 11154}"
"{'t1': 58, 't2': 1, 'similar?': 0.42, 'premature_discard': 3503, 'discarded': 9791, 'used': 907, 'hits_t1': 0, 'rules_t1': 11154, 'hits_t2': 907, 'rules_t2': 9791}"
"{'t1': 1, 't2': 45, 'similar?': 0.41, 'premature_discard': 2173, 'discarded': 8346, 'used': 2663, 'hits_t1': 907, 'rules_t1': 9791, 'hits_t2': 2663, 'rules_t2': 8405}"
"{'t1': 45, 't2': 27, 'similar?': 0.52, 'premature_discard': 496, 'discarded': 5678, 'used': 4960, 'hits_t1': 2663, 'rules_t1': 8405, 'hits_t2': 4960, 'rules_t2': 5678}"
"{'t1': 27, 't2': 57, 'similar?': 0.33, 'premature_discard': 3613, 'discarded': 10679, 'used': 406, 'hits_t1': 4960, 'rules_t1': 5678, 'hits_t2': 406, 'rules_t2': 10785}"
"{'t1': 57, 't2': 21, 'similar?': 0.45, 'premature_discard': 5152, 'discarded': 11132, 'used': 0, 'hits_t1': 406, 'rules_t1': 10785, 'hits_t2': 0, 'rules_t2': 11132}"
"{'t1': 21, 't2': 11, 'similar?': 0.33, 'premature_discard': 511, 'discarded': 7208, 'used': 2705, 'hits_t1': 0, 'rules_t1': 11132, 'hits_t2': 2705, 'rules_t2': 7208}"
"{'t1': 11, 't2': 25, 'similar?': 0.33, 'premature_discard': 1452, 'discarded': 8320, 'used': 2775, 'hits_t1': 2705, 'rules_t1': 7208, 'hits_t2': 2775, 'rules_t2': 8478}"
"{'t1': 25, 't2': 61, 'similar?': 0.39, 'premature_discard': 1648, 'discarded': 8145, 'used': 2300, 'hits_t1': 2775, 'rules_t1': 8478, 'hits_t2': 2300, 'rules_t2': 8145}"
"{'t1': 61, 't2': 42, 'similar?': 0.43, 'premature_discard': 0, 'discarded': 6117, 'used': 4525, 'hits_t1': 2300, 'rules_t1': 8145, 'hits_t2': 4525, 'rules_t2': 6117}"
"{'t1': 42, 't2': 0, 'similar?': 0.22, 'premature_discard': 694, 'discarded': 8812, 'used': 1630, 'hits_t1': 4525, 'rules_t1': 6117, 'hits_t2': 1630, 'rules_t2': 8812}"
"{'t1': 0, 't2': 15, 'similar?': 0.16, 'premature_discard': 503, 'discarded': 9472, 'used': 1528, 'hits_t1': 1630, 'rules_t1': 8812, 'hits_t2': 1528, 'rules_t2': 9535}"
"{'t1': 15, 't2': 9, 'similar?': 0.18, 'premature_discard': 2402, 'discarded': 11231, 'used': 0, 'hits_t1': 1528, 'rules_t1': 9535, 'hits_t2': 0, 'rules_t2': 11294}"
"{'t1': 9, 't2': 33, 'similar?': 0.26, 'premature_discard': 3243, 'discarded': 11243, 'used': 0, 'hits_t1': 0, 'rules_t1': 11294, 'hits_t2': 0, 'rules_t2': 11243}"
"{'t1': 33, 't2': 53, 'similar?': 0.31, 'premature_discard': 2668, 'discarded': 10167, 'used': 533, 'hits_t1': 0, 'rules_t1': 11243, 'hits_t2': 533, 'rules_t2': 10167}"
"{'t1': 53, 't2': 60, 'similar?': 0.54, 'premature_discard': 2352, 'discarded': 7144, 'used': 3857, 'hits_t1': 533, 'rules_t1': 10167, 'hits_t2': 3857, 'rules_t2': 7340}"
"{'t1': 60, 't2': 12, 'similar?': 0.35, 'premature_discard': 2882, 'discarded': 9814, 'used': 615, 'hits_t1': 3857, 'rules_t1': 7340, 'hits_t2': 615, 'rules_t2': 9814}"
"{'t1': 12, 't2': 29, 'similar?': 0.32, 'premature_discard': 0, 'discarded': 6318, 'used': 2951, 'hits_t1': 615, 'rules_t1': 9814, 'hits_t2': 2951, 'rules_t2': 6318}"
"{'t1': 29, 't2': 38, 'similar?': 0.61, 'premature_discard': 66, 'discarded': 3900, 'used': 6017, 'hits_t1': 2951, 'rules_t1': 6318, 'hits_t2': 6017, 'rules_t2': 3900}"
"{'t1': 38, 't2': 8, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 9381, 'used': 1350, 'hits_t1': 6017, 'rules_t1': 3900, 'hits_t2': 1350, 'rules_t2': 9381}"
"{'t1': 8, 't2': 51, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 8046, 'used': 2324, 'hits_t1': 1350, 'rules_t1': 9381, 'hits_t2': 2324, 'rules_t2': 8046}"
"{'t1': 51, 't2': 44, 'similar?': 0.08, 'premature_discard': 133, 'discarded': 10143, 'used': 813, 'hits_t1': 2324, 'rules_t1': 8046, 'hits_t2': 813, 'rules_t2': 10176}"
"{'t1': 44, 't2': 48, 'similar?': 0.37, 'premature_discard': 479, 'discarded': 6720, 'used': 3148, 'hits_t1': 813, 'rules_t1': 10176, 'hits_t2': 3148, 'rules_t2': 6720}"
"{'t1': 48, 't2': 62, 'similar?': 0.14, 'premature_discard': 831, 'discarded': 9971, 'used': 1230, 'hits_t1': 3148, 'rules_t1': 6720, 'hits_t2': 1230, 'rules_t2': 10049}"
"{'t1': 62, 't2': 40, 'similar?': 0.05, 'premature_discard': 437, 'discarded': 10479, 'used': 84, 'hits_t1': 1230, 'rules_t1': 10049, 'hits_t2': 84, 'rules_t2': 10479}"
"{'t1': 40, 't2': 64, 'similar?': 0.03, 'premature_discard': 37, 'discarded': 10314, 'used': 298, 'hits_t1': 84, 'rules_t1': 10479, 'hits_t2': 298, 'rules_t2': 10314}"
"{'t1': 64, 't2': 100, 'similar?': 0.67, 'premature_discard': 0, 'discarded': 3525, 'used': 7175, 'hits_t1': 298, 'rules_t1': 10314, 'hits_t2': 7175, 'rules_t2': 3525}"
"{'t1': 100, 't2': 67, 'similar?': 0.83, 'premature_discard': 0, 'discarded': 1796, 'used': 8473, 'hits_t1': 7175, 'rules_t1': 3525, 'hits_t2': 8473, 'rules_t2': 1796}"
"{'t1': 67, 't2': 80, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 8473, 'rules_t1': 1796, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 80, 't2': 81, 'similar?': 0.81, 'premature_discard': 611, 'discarded': 1961, 'used': 8473, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 8473, 'rules_t2': 1961}"
