"---------------------> nnschellforall SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 197, 'similar?': 0.8, 'premature_discard': 9275, 'discarded': 11443, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11481}"
"{'t1': 197, 't2': 60, 'similar?': 0.82, 'premature_discard': 8991, 'discarded': 11197, 'used': 0, 'hits_t1': 0, 'rules_t1': 11481, 'hits_t2': 0, 'rules_t2': 11197}"
"{'t1': 60, 't2': 96, 'similar?': 0.76, 'premature_discard': 8446, 'discarded': 11079, 'used': 0, 'hits_t1': 0, 'rules_t1': 11197, 'hits_t2': 0, 'rules_t2': 11079}"
"{'t1': 96, 't2': 36, 'similar?': 0.63, 'premature_discard': 7333, 'discarded': 11145, 'used': 0, 'hits_t1': 0, 'rules_t1': 11079, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 390, 'similar?': 0.68, 'premature_discard': 7934, 'discarded': 11393, 'used': 0, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 0, 'rules_t2': 11421}"
"{'t1': 390, 't2': 293, 'similar?': 0.74, 'premature_discard': 8568, 'discarded': 11404, 'used': 0, 'hits_t1': 0, 'rules_t1': 11421, 'hits_t2': 0, 'rules_t2': 11404}"
"{'t1': 293, 't2': 115, 'similar?': 0.7, 'premature_discard': 7655, 'discarded': 11107, 'used': 0, 'hits_t1': 0, 'rules_t1': 11404, 'hits_t2': 0, 'rules_t2': 11107}"
"{'t1': 115, 't2': 551, 'similar?': 0.58, 'premature_discard': 6740, 'discarded': 11167, 'used': 0, 'hits_t1': 0, 'rules_t1': 11107, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 551, 't2': 55, 'similar?': 0.79, 'premature_discard': 7008, 'discarded': 9611, 'used': 1089, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 1089, 'rules_t2': 9611}"
"{'t1': 55, 't2': 192, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 781, 'used': 9919, 'hits_t1': 1089, 'rules_t1': 9611, 'hits_t2': 9919, 'rules_t2': 781}"
"{'t1': 192, 't2': 296, 'similar?': 0.82, 'premature_discard': 5768, 'discarded': 7444, 'used': 3495, 'hits_t1': 9919, 'rules_t1': 781, 'hits_t2': 3495, 'rules_t2': 7698}"
"{'t1': 296, 't2': 490, 'similar?': 0.8, 'premature_discard': 9271, 'discarded': 11201, 'used': 0, 'hits_t1': 3495, 'rules_t1': 7698, 'hits_t2': 0, 'rules_t2': 11404}"
"{'t1': 490, 't2': 187, 'similar?': 0.63, 'premature_discard': 7262, 'discarded': 11331, 'used': 0, 'hits_t1': 0, 'rules_t1': 11404, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 187, 't2': 578, 'similar?': 0.54, 'premature_discard': 5986, 'discarded': 11129, 'used': 0, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 0, 'rules_t2': 11129}"
"{'t1': 578, 't2': 267, 'similar?': 0.6, 'premature_discard': 6505, 'discarded': 10982, 'used': 0, 'hits_t1': 0, 'rules_t1': 11129, 'hits_t2': 0, 'rules_t2': 10982}"
"{'t1': 267, 't2': 458, 'similar?': 0.49, 'premature_discard': 903, 'discarded': 6226, 'used': 4019, 'hits_t1': 0, 'rules_t1': 10982, 'hits_t2': 4019, 'rules_t2': 6226}"
"{'t1': 458, 't2': 136, 'similar?': 0.63, 'premature_discard': 3281, 'discarded': 6763, 'used': 4250, 'hits_t1': 4019, 'rules_t1': 6226, 'hits_t2': 4250, 'rules_t2': 7154}"
"{'t1': 136, 't2': 3, 'similar?': 0.36, 'premature_discard': 4307, 'discarded': 11365, 'used': 0, 'hits_t1': 4250, 'rules_t1': 7154, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 130, 'similar?': 0.58, 'premature_discard': 6728, 'discarded': 11370, 'used': 0, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 0, 'rules_t2': 11382}"
"{'t1': 130, 't2': 614, 'similar?': 0.68, 'premature_discard': 7935, 'discarded': 11389, 'used': 0, 'hits_t1': 0, 'rules_t1': 11382, 'hits_t2': 0, 'rules_t2': 11437}"
"{'t1': 614, 't2': 464, 'similar?': 0.74, 'premature_discard': 8577, 'discarded': 11449, 'used': 0, 'hits_t1': 0, 'rules_t1': 11437, 'hits_t2': 0, 'rules_t2': 11517}"
"{'t1': 464, 't2': 335, 'similar?': 0.79, 'premature_discard': 7012, 'discarded': 9763, 'used': 936, 'hits_t1': 0, 'rules_t1': 11517, 'hits_t2': 936, 'rules_t2': 9763}"
"{'t1': 335, 't2': 330, 'similar?': 0.53, 'premature_discard': 3922, 'discarded': 8758, 'used': 2272, 'hits_t1': 936, 'rules_t1': 9763, 'hits_t2': 2272, 'rules_t2': 9089}"
"{'t1': 330, 't2': 528, 'similar?': 0.63, 'premature_discard': 7339, 'discarded': 11372, 'used': 0, 'hits_t1': 2272, 'rules_t1': 9089, 'hits_t2': 0, 'rules_t2': 11436}"
"{'t1': 528, 't2': 386, 'similar?': 0.67, 'premature_discard': 1541, 'discarded': 4900, 'used': 4070, 'hits_t1': 0, 'rules_t1': 11436, 'hits_t2': 4070, 'rules_t2': 4900}"
"{'t1': 386, 't2': 446, 'similar?': 0.53, 'premature_discard': 1972, 'discarded': 5601, 'used': 5437, 'hits_t1': 4070, 'rules_t1': 4900, 'hits_t2': 5437, 'rules_t2': 5963}"
"{'t1': 446, 't2': 514, 'similar?': 0.74, 'premature_discard': 8611, 'discarded': 11428, 'used': 0, 'hits_t1': 5437, 'rules_t1': 5963, 'hits_t2': 0, 'rules_t2': 11507}"
"{'t1': 514, 't2': 587, 'similar?': 0.74, 'premature_discard': 8576, 'discarded': 11509, 'used': 0, 'hits_t1': 0, 'rules_t1': 11507, 'hits_t2': 0, 'rules_t2': 11514}"
"{'t1': 587, 't2': 849, 'similar?': 0.74, 'premature_discard': 8574, 'discarded': 11512, 'used': 0, 'hits_t1': 0, 'rules_t1': 11514, 'hits_t2': 0, 'rules_t2': 11512}"
"{'t1': 849, 't2': 925, 'similar?': 0.86, 'premature_discard': 7683, 'discarded': 9764, 'used': 936, 'hits_t1': 0, 'rules_t1': 11512, 'hits_t2': 936, 'rules_t2': 9764}"
"{'t1': 925, 't2': 881, 'similar?': 0.56, 'premature_discard': 0, 'discarded': 4683, 'used': 6017, 'hits_t1': 936, 'rules_t1': 9764, 'hits_t2': 6017, 'rules_t2': 4683}"
"{'t1': 881, 't2': 224, 'similar?': 0.59, 'premature_discard': 3339, 'discarded': 7613, 'used': 3362, 'hits_t1': 6017, 'rules_t1': 4683, 'hits_t2': 3362, 'rules_t2': 7869}"
"{'t1': 224, 't2': 622, 'similar?': 0.73, 'premature_discard': 5872, 'discarded': 8999, 'used': 1660, 'hits_t1': 3362, 'rules_t1': 7869, 'hits_t2': 1660, 'rules_t2': 8999}"
"{'t1': 622, 't2': 353, 'similar?': 0.61, 'premature_discard': 0, 'discarded': 4121, 'used': 6579, 'hits_t1': 1660, 'rules_t1': 8999, 'hits_t2': 6579, 'rules_t2': 4121}"
"{'t1': 353, 't2': 1, 'similar?': 0.42, 'premature_discard': 0, 'discarded': 6173, 'used': 4525, 'hits_t1': 6579, 'rules_t1': 4121, 'hits_t2': 4525, 'rules_t2': 6173}"
"{'t1': 1, 't2': 45, 'similar?': 0.41, 'premature_discard': 2018, 'discarded': 8346, 'used': 2663, 'hits_t1': 4525, 'rules_t1': 6173, 'hits_t2': 2663, 'rules_t2': 8405}"
"{'t1': 45, 't2': 907, 'similar?': 0.64, 'premature_discard': 7331, 'discarded': 11100, 'used': 0, 'hits_t1': 2663, 'rules_t1': 8405, 'hits_t2': 0, 'rules_t2': 11204}"
"{'t1': 907, 't2': 27, 'similar?': 0.52, 'premature_discard': 406, 'discarded': 5678, 'used': 4960, 'hits_t1': 0, 'rules_t1': 11204, 'hits_t2': 4960, 'rules_t2': 5678}"
"{'t1': 27, 't2': 57, 'similar?': 0.33, 'premature_discard': 3613, 'discarded': 10679, 'used': 406, 'hits_t1': 4960, 'rules_t1': 5678, 'hits_t2': 406, 'rules_t2': 10785}"
"{'t1': 57, 't2': 79, 'similar?': 0.47, 'premature_discard': 4195, 'discarded': 10048, 'used': 651, 'hits_t1': 406, 'rules_t1': 10785, 'hits_t2': 651, 'rules_t2': 10048}"
"{'t1': 79, 't2': 118, 'similar?': 0.49, 'premature_discard': 3403, 'discarded': 8638, 'used': 2430, 'hits_t1': 651, 'rules_t1': 10048, 'hits_t2': 2430, 'rules_t2': 8832}"
"{'t1': 118, 't2': 17, 'similar?': 0.44, 'premature_discard': 5243, 'discarded': 11265, 'used': 0, 'hits_t1': 2430, 'rules_t1': 8832, 'hits_t2': 0, 'rules_t2': 11278}"
"{'t1': 17, 't2': 22, 'similar?': 0.49, 'premature_discard': 5561, 'discarded': 11105, 'used': 0, 'hits_t1': 0, 'rules_t1': 11278, 'hits_t2': 0, 'rules_t2': 11105}"
"{'t1': 22, 't2': 58, 'similar?': 0.37, 'premature_discard': 4305, 'discarded': 11117, 'used': 0, 'hits_t1': 0, 'rules_t1': 11105, 'hits_t2': 0, 'rules_t2': 11154}"
"{'t1': 58, 't2': 117, 'similar?': 0.55, 'premature_discard': 6062, 'discarded': 11026, 'used': 0, 'hits_t1': 0, 'rules_t1': 11154, 'hits_t2': 0, 'rules_t2': 11026}"
"{'t1': 117, 't2': 21, 'similar?': 0.37, 'premature_discard': 4299, 'discarded': 11092, 'used': 0, 'hits_t1': 0, 'rules_t1': 11026, 'hits_t2': 0, 'rules_t2': 11132}"
"{'t1': 21, 't2': 284, 'similar?': 0.38, 'premature_discard': 4011, 'discarded': 10870, 'used': 0, 'hits_t1': 0, 'rules_t1': 11132, 'hits_t2': 0, 'rules_t2': 10870}"
"{'t1': 284, 't2': 122, 'similar?': 0.55, 'premature_discard': 6069, 'discarded': 10918, 'used': 0, 'hits_t1': 0, 'rules_t1': 10870, 'hits_t2': 0, 'rules_t2': 11001}"
"{'t1': 122, 't2': 61, 'similar?': 0.63, 'premature_discard': 2052, 'discarded': 6010, 'used': 4435, 'hits_t1': 0, 'rules_t1': 11001, 'hits_t2': 4435, 'rules_t2': 6010}"
"{'t1': 61, 't2': 234, 'similar?': 0.53, 'premature_discard': 2460, 'discarded': 7296, 'used': 3717, 'hits_t1': 4435, 'rules_t1': 6010, 'hits_t2': 3717, 'rules_t2': 7551}"
"{'t1': 234, 't2': 258, 'similar?': 0.3, 'premature_discard': 3328, 'discarded': 10997, 'used': 0, 'hits_t1': 3717, 'rules_t1': 7551, 'hits_t2': 0, 'rules_t2': 10997}"
