"---------------------> nnschellforall SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 36, 'similar?': 0.63, 'premature_discard': 7287, 'discarded': 11387, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 60, 'similar?': 0.7, 'premature_discard': 7738, 'discarded': 11197, 'used': 0, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 0, 'rules_t2': 11197}"
"{'t1': 60, 't2': 96, 'similar?': 0.76, 'premature_discard': 8446, 'discarded': 11079, 'used': 0, 'hits_t1': 0, 'rules_t1': 11197, 'hits_t2': 0, 'rules_t2': 11079}"
"{'t1': 96, 't2': 115, 'similar?': 0.76, 'premature_discard': 8559, 'discarded': 11081, 'used': 0, 'hits_t1': 0, 'rules_t1': 11079, 'hits_t2': 0, 'rules_t2': 11107}"
"{'t1': 115, 't2': 197, 'similar?': 0.74, 'premature_discard': 8609, 'discarded': 11157, 'used': 0, 'hits_t1': 0, 'rules_t1': 11107, 'hits_t2': 0, 'rules_t2': 11481}"
"{'t1': 197, 't2': 335, 'similar?': 0.79, 'premature_discard': 7024, 'discarded': 9763, 'used': 936, 'hits_t1': 0, 'rules_t1': 11481, 'hits_t2': 936, 'rules_t2': 9763}"
"{'t1': 335, 't2': 390, 'similar?': 0.68, 'premature_discard': 5704, 'discarded': 8751, 'used': 2230, 'hits_t1': 936, 'rules_t1': 9763, 'hits_t2': 2230, 'rules_t2': 9191}"
"{'t1': 390, 't2': 446, 'similar?': 0.74, 'premature_discard': 8564, 'discarded': 11400, 'used': 0, 'hits_t1': 2230, 'rules_t1': 9191, 'hits_t2': 0, 'rules_t2': 11400}"
"{'t1': 446, 't2': 464, 'similar?': 0.74, 'premature_discard': 8612, 'discarded': 11429, 'used': 0, 'hits_t1': 0, 'rules_t1': 11400, 'hits_t2': 0, 'rules_t2': 11517}"
"{'t1': 464, 't2': 514, 'similar?': 0.8, 'premature_discard': 9268, 'discarded': 11507, 'used': 0, 'hits_t1': 0, 'rules_t1': 11517, 'hits_t2': 0, 'rules_t2': 11507}"
"{'t1': 514, 't2': 551, 'similar?': 0.69, 'premature_discard': 7770, 'discarded': 11331, 'used': 0, 'hits_t1': 0, 'rules_t1': 11507, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 551, 't2': 622, 'similar?': 0.73, 'premature_discard': 6017, 'discarded': 9209, 'used': 1450, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 1450, 'rules_t2': 9209}"
"{'t1': 622, 't2': 849, 'similar?': 0.57, 'premature_discard': 5023, 'discarded': 9297, 'used': 1768, 'hits_t1': 1450, 'rules_t1': 9209, 'hits_t2': 1768, 'rules_t2': 9744}"
"{'t1': 849, 't2': 925, 'similar?': 0.86, 'premature_discard': 7683, 'discarded': 9764, 'used': 936, 'hits_t1': 1768, 'rules_t1': 9744, 'hits_t2': 936, 'rules_t2': 9764}"
"{'t1': 925, 't2': 968, 'similar?': 0.68, 'premature_discard': 5433, 'discarded': 8480, 'used': 2521, 'hits_t1': 936, 'rules_t1': 9764, 'hits_t2': 2521, 'rules_t2': 8915}"
"{'t1': 968, 't2': 995, 'similar?': 0.68, 'premature_discard': 7958, 'discarded': 11440, 'used': 0, 'hits_t1': 2521, 'rules_t1': 8915, 'hits_t2': 0, 'rules_t2': 11461}"
"{'t1': 995, 't2': 3, 'similar?': 0.58, 'premature_discard': 6632, 'discarded': 11365, 'used': 0, 'hits_t1': 0, 'rules_t1': 11461, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 130, 'similar?': 0.58, 'premature_discard': 6728, 'discarded': 11370, 'used': 0, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 0, 'rules_t2': 11382}"
"{'t1': 130, 't2': 7, 'similar?': 0.18, 'premature_discard': 630, 'discarded': 8735, 'used': 969, 'hits_t1': 0, 'rules_t1': 11382, 'hits_t2': 969, 'rules_t2': 8735}"
"{'t1': 7, 't2': 116, 'similar?': 0.3, 'premature_discard': 23, 'discarded': 6968, 'used': 2951, 'hits_t1': 969, 'rules_t1': 8735, 'hits_t2': 2951, 'rules_t2': 6968}"
"{'t1': 116, 't2': 207, 'similar?': 0.73, 'premature_discard': 100, 'discarded': 2855, 'used': 7806, 'hits_t1': 2951, 'rules_t1': 6968, 'hits_t2': 7806, 'rules_t2': 2855}"
"{'t1': 207, 't2': 308, 'similar?': 0.48, 'premature_discard': 0, 'discarded': 5490, 'used': 4991, 'hits_t1': 7806, 'rules_t1': 2855, 'hits_t2': 4991, 'rules_t2': 5490}"
