"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (64) -----------------"
"{'t1': 60, 't2': 2, 'similar?': 0.75, 'premature_discard': 8575, 'discarded': 11208, 'used': 0, 'hits_t1': 0, 'rules_t1': 11197, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 3, 'similar?': 0.53, 'premature_discard': 6118, 'discarded': 11365, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 35, 'similar?': 0.39, 'premature_discard': 4776, 'discarded': 11402, 'used': 0, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 0, 'rules_t2': 11467}"
"{'t1': 35, 't2': 36, 'similar?': 0.44, 'premature_discard': 5149, 'discarded': 11387, 'used': 0, 'hits_t1': 0, 'rules_t1': 11467, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 52, 'similar?': 0.56, 'premature_discard': 4851, 'discarded': 9884, 'used': 816, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 816, 'rules_t2': 9884}"
"{'t1': 52, 't2': 55, 'similar?': 0.61, 'premature_discard': 0, 'discarded': 4121, 'used': 6579, 'hits_t1': 816, 'rules_t1': 9884, 'hits_t2': 6579, 'rules_t2': 4121}"
"{'t1': 55, 't2': 12, 'similar?': 0.39, 'premature_discard': 66, 'discarded': 6340, 'used': 4089, 'hits_t1': 6579, 'rules_t1': 4121, 'hits_t2': 4089, 'rules_t2': 6340}"
"{'t1': 12, 't2': 26, 'similar?': 0.25, 'premature_discard': 0, 'discarded': 7728, 'used': 2625, 'hits_t1': 4089, 'rules_t1': 6340, 'hits_t2': 2625, 'rules_t2': 7728}"
"{'t1': 26, 't2': 24, 'similar?': 0.51, 'premature_discard': 0, 'discarded': 4810, 'used': 4991, 'hits_t1': 2625, 'rules_t1': 7728, 'hits_t2': 4991, 'rules_t2': 4810}"
"{'t1': 24, 't2': 54, 'similar?': 0.64, 'premature_discard': 324, 'discarded': 3692, 'used': 6579, 'hits_t1': 4991, 'rules_t1': 4810, 'hits_t2': 6579, 'rules_t2': 3692}"
