"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (64) -----------------"
"{'t1': 63, 't2': 19, 'similar?': 0.85, 'premature_discard': 0, 'discarded': 1293, 'used': 8473, 'hits_t1': 0, 'rules_t1': 10700, 'hits_t2': 8473, 'rules_t2': 1446}"
"{'t1': 19, 't2': 39, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 8473, 'rules_t1': 1446, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 39, 't2': 43, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 1523, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 9177, 'rules_t2': 1523}"
"{'t1': 43, 't2': 53, 'similar?': 0.79, 'premature_discard': 5199, 'discarded': 7426, 'used': 3274, 'hits_t1': 9177, 'rules_t1': 1523, 'hits_t2': 3274, 'rules_t2': 7426}"
"{'t1': 53, 't2': 2, 'similar?': 0.58, 'premature_discard': 4326, 'discarded': 8600, 'used': 2414, 'hits_t1': 3274, 'rules_t1': 7426, 'hits_t2': 2414, 'rules_t2': 8917}"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 2414, 'rules_t1': 8917, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 3, 'similar?': 0.53, 'premature_discard': 6118, 'discarded': 11365, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 35, 'similar?': 0.39, 'premature_discard': 4776, 'discarded': 11402, 'used': 0, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 0, 'rules_t2': 11467}"
"{'t1': 35, 't2': 36, 'similar?': 0.44, 'premature_discard': 5149, 'discarded': 11387, 'used': 0, 'hits_t1': 0, 'rules_t1': 11467, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 52, 'similar?': 0.56, 'premature_discard': 4851, 'discarded': 9884, 'used': 816, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 816, 'rules_t2': 9884}"
"{'t1': 52, 't2': 55, 'similar?': 0.61, 'premature_discard': 0, 'discarded': 4121, 'used': 6579, 'hits_t1': 816, 'rules_t1': 9884, 'hits_t2': 6579, 'rules_t2': 4121}"
"{'t1': 55, 't2': 60, 'similar?': 0.59, 'premature_discard': 2595, 'discarded': 6869, 'used': 4126, 'hits_t1': 6579, 'rules_t1': 4121, 'hits_t2': 4126, 'rules_t2': 7071}"
"{'t1': 60, 't2': 1, 'similar?': 0.51, 'premature_discard': 4106, 'discarded': 9438, 'used': 1260, 'hits_t1': 4126, 'rules_t1': 7071, 'hits_t2': 1260, 'rules_t2': 9438}"
"{'t1': 1, 't2': 45, 'similar?': 0.41, 'premature_discard': 2018, 'discarded': 8346, 'used': 2663, 'hits_t1': 1260, 'rules_t1': 9438, 'hits_t2': 2663, 'rules_t2': 8405}"
"{'t1': 45, 't2': 27, 'similar?': 0.52, 'premature_discard': 496, 'discarded': 5678, 'used': 4960, 'hits_t1': 2663, 'rules_t1': 8405, 'hits_t2': 4960, 'rules_t2': 5678}"
"{'t1': 27, 't2': 57, 'similar?': 0.33, 'premature_discard': 3613, 'discarded': 10679, 'used': 406, 'hits_t1': 4960, 'rules_t1': 5678, 'hits_t2': 406, 'rules_t2': 10785}"
"{'t1': 57, 't2': 17, 'similar?': 0.49, 'premature_discard': 5708, 'discarded': 11223, 'used': 0, 'hits_t1': 406, 'rules_t1': 10785, 'hits_t2': 0, 'rules_t2': 11278}"
"{'t1': 17, 't2': 22, 'similar?': 0.49, 'premature_discard': 5561, 'discarded': 11105, 'used': 0, 'hits_t1': 0, 'rules_t1': 11278, 'hits_t2': 0, 'rules_t2': 11105}"
"{'t1': 22, 't2': 58, 'similar?': 0.37, 'premature_discard': 4305, 'discarded': 11117, 'used': 0, 'hits_t1': 0, 'rules_t1': 11105, 'hits_t2': 0, 'rules_t2': 11154}"
"{'t1': 58, 't2': 9, 'similar?': 0.4, 'premature_discard': 4826, 'discarded': 11243, 'used': 0, 'hits_t1': 0, 'rules_t1': 11154, 'hits_t2': 0, 'rules_t2': 11294}"
"{'t1': 9, 't2': 15, 'similar?': 0.19, 'premature_discard': 2171, 'discarded': 11063, 'used': 0, 'hits_t1': 0, 'rules_t1': 11294, 'hits_t2': 0, 'rules_t2': 11063}"
"{'t1': 15, 't2': 0, 'similar?': 0.17, 'premature_discard': 761, 'discarded': 9473, 'used': 969, 'hits_t1': 0, 'rules_t1': 11063, 'hits_t2': 969, 'rules_t2': 9473}"
"{'t1': 0, 't2': 11, 'similar?': 0.26, 'premature_discard': 32, 'discarded': 7288, 'used': 2625, 'hits_t1': 969, 'rules_t1': 9473, 'hits_t2': 2625, 'rules_t2': 7288}"
"{'t1': 11, 't2': 21, 'similar?': 0.3, 'premature_discard': 758, 'discarded': 8302, 'used': 2743, 'hits_t1': 2625, 'rules_t1': 7288, 'hits_t2': 2743, 'rules_t2': 8389}"
"{'t1': 21, 't2': 25, 'similar?': 0.36, 'premature_discard': 4372, 'discarded': 11231, 'used': 0, 'hits_t1': 2743, 'rules_t1': 8389, 'hits_t2': 0, 'rules_t2': 11253}"
"{'t1': 25, 't2': 61, 'similar?': 0.39, 'premature_discard': 1648, 'discarded': 8145, 'used': 2300, 'hits_t1': 0, 'rules_t1': 11253, 'hits_t2': 2300, 'rules_t2': 8145}"
"{'t1': 61, 't2': 42, 'similar?': 0.43, 'premature_discard': 0, 'discarded': 6117, 'used': 4525, 'hits_t1': 2300, 'rules_t1': 8145, 'hits_t2': 4525, 'rules_t2': 6117}"
"{'t1': 42, 't2': 33, 'similar?': 0.33, 'premature_discard': 3562, 'discarded': 10733, 'used': 406, 'hits_t1': 4525, 'rules_t1': 6117, 'hits_t2': 406, 'rules_t2': 10837}"
"{'t1': 33, 't2': 62, 'similar?': 0.29, 'premature_discard': 3623, 'discarded': 11251, 'used': 0, 'hits_t1': 406, 'rules_t1': 10837, 'hits_t2': 0, 'rules_t2': 11279}"
"{'t1': 62, 't2': 4, 'similar?': 0.17, 'premature_discard': 1058, 'discarded': 9853, 'used': 615, 'hits_t1': 0, 'rules_t1': 11279, 'hits_t2': 615, 'rules_t2': 9853}"
"{'t1': 4, 't2': 47, 'similar?': 0.53, 'premature_discard': 0, 'discarded': 4954, 'used': 5488, 'hits_t1': 615, 'rules_t1': 9853, 'hits_t2': 5488, 'rules_t2': 4954}"
"{'t1': 47, 't2': 14, 'similar?': 0.29, 'premature_discard': 0, 'discarded': 7375, 'used': 2951, 'hits_t1': 5488, 'rules_t1': 4954, 'hits_t2': 2951, 'rules_t2': 7375}"
"{'t1': 14, 't2': 6, 'similar?': 0.48, 'premature_discard': 0, 'discarded': 5349, 'used': 4991, 'hits_t1': 2951, 'rules_t1': 7375, 'hits_t2': 4991, 'rules_t2': 5349}"
"{'t1': 6, 't2': 50, 'similar?': 0.62, 'premature_discard': 408, 'discarded': 3981, 'used': 6579, 'hits_t1': 4991, 'rules_t1': 5349, 'hits_t2': 6579, 'rules_t2': 3981}"
"{'t1': 50, 't2': 7, 'similar?': 0.34, 'premature_discard': 55, 'discarded': 6401, 'used': 3303, 'hits_t1': 6579, 'rules_t1': 3981, 'hits_t2': 3303, 'rules_t2': 6401}"
