"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 999, 't2': 0, 'similar?': 0.35, 'premature_discard': 1001, 'discarded': 7842, 'used': 2600, 'hits_t1': 0, 'rules_t1': 11154, 'hits_t2': 2600, 'rules_t2': 7842}"
"{'t1': 0, 't2': 216, 'similar?': 0.35, 'premature_discard': 0, 'discarded': 6842, 'used': 3682, 'hits_t1': 2600, 'rules_t1': 7842, 'hits_t2': 3682, 'rules_t2': 6842}"
"{'t1': 216, 't2': 265, 'similar?': 0.28, 'premature_discard': 66, 'discarded': 7736, 'used': 2951, 'hits_t1': 3682, 'rules_t1': 6842, 'hits_t2': 2951, 'rules_t2': 7736}"
"{'t1': 265, 't2': 181, 'similar?': 0.47, 'premature_discard': 0, 'discarded': 5709, 'used': 4991, 'hits_t1': 2951, 'rules_t1': 7736, 'hits_t2': 4991, 'rules_t2': 5709}"
"{'t1': 181, 't2': 214, 'similar?': 0.47, 'premature_discard': 89, 'discarded': 5704, 'used': 4991, 'hits_t1': 4991, 'rules_t1': 5709, 'hits_t2': 4991, 'rules_t2': 5704}"
"{'t1': 214, 't2': 11, 'similar?': 0.26, 'premature_discard': 0, 'discarded': 7288, 'used': 2625, 'hits_t1': 4991, 'rules_t1': 5704, 'hits_t2': 2625, 'rules_t2': 7288}"
"{'t1': 11, 't2': 102, 'similar?': 0.3, 'premature_discard': 0, 'discarded': 6788, 'used': 2951, 'hits_t1': 2625, 'rules_t1': 7288, 'hits_t2': 2951, 'rules_t2': 6788}"
"{'t1': 102, 't2': 635, 'similar?': 0.15, 'premature_discard': 136, 'discarded': 8843, 'used': 1561, 'hits_t1': 2951, 'rules_t1': 6788, 'hits_t2': 1561, 'rules_t2': 8843}"
"{'t1': 635, 't2': 87, 'similar?': 0.23, 'premature_discard': 1662, 'discarded': 9804, 'used': 1295, 'hits_t1': 1561, 'rules_t1': 8843, 'hits_t2': 1295, 'rules_t2': 9898}"
"{'t1': 87, 't2': 423, 'similar?': 0.33, 'premature_discard': 3934, 'discarded': 11211, 'used': 0, 'hits_t1': 1295, 'rules_t1': 9898, 'hits_t2': 0, 'rules_t2': 11211}"
"{'t1': 423, 't2': 21, 'similar?': 0.49, 'premature_discard': 5617, 'discarded': 11132, 'used': 0, 'hits_t1': 0, 'rules_t1': 11211, 'hits_t2': 0, 'rules_t2': 11132}"
"{'t1': 21, 't2': 117, 'similar?': 0.37, 'premature_discard': 4193, 'discarded': 11026, 'used': 0, 'hits_t1': 0, 'rules_t1': 11132, 'hits_t2': 0, 'rules_t2': 11026}"
"{'t1': 117, 't2': 1, 'similar?': 0.51, 'premature_discard': 3125, 'discarded': 8398, 'used': 2300, 'hits_t1': 0, 'rules_t1': 11026, 'hits_t2': 2300, 'rules_t2': 8398}"
"{'t1': 1, 't2': 2, 'similar?': 0.44, 'premature_discard': 4487, 'discarded': 10349, 'used': 811, 'hits_t1': 2300, 'rules_t1': 8398, 'hits_t2': 811, 'rules_t2': 10520}"
"{'t1': 2, 't2': 10, 'similar?': 0.68, 'premature_discard': 7955, 'discarded': 11343, 'used': 0, 'hits_t1': 811, 'rules_t1': 10520, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 197, 'similar?': 0.8, 'premature_discard': 9275, 'discarded': 11443, 'used': 0, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 0, 'rules_t2': 11481}"
"{'t1': 197, 't2': 60, 'similar?': 0.82, 'premature_discard': 8991, 'discarded': 11197, 'used': 0, 'hits_t1': 0, 'rules_t1': 11481, 'hits_t2': 0, 'rules_t2': 11197}"
"{'t1': 60, 't2': 96, 'similar?': 0.76, 'premature_discard': 8446, 'discarded': 11079, 'used': 0, 'hits_t1': 0, 'rules_t1': 11197, 'hits_t2': 0, 'rules_t2': 11079}"
"{'t1': 96, 't2': 36, 'similar?': 0.63, 'premature_discard': 7333, 'discarded': 11145, 'used': 0, 'hits_t1': 0, 'rules_t1': 11079, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 390, 'similar?': 0.68, 'premature_discard': 7934, 'discarded': 11393, 'used': 0, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 0, 'rules_t2': 11421}"
"{'t1': 390, 't2': 293, 'similar?': 0.74, 'premature_discard': 8568, 'discarded': 11404, 'used': 0, 'hits_t1': 0, 'rules_t1': 11421, 'hits_t2': 0, 'rules_t2': 11404}"
"{'t1': 293, 't2': 115, 'similar?': 0.7, 'premature_discard': 7655, 'discarded': 11107, 'used': 0, 'hits_t1': 0, 'rules_t1': 11404, 'hits_t2': 0, 'rules_t2': 11107}"
"{'t1': 115, 't2': 551, 'similar?': 0.58, 'premature_discard': 6740, 'discarded': 11167, 'used': 0, 'hits_t1': 0, 'rules_t1': 11107, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 551, 't2': 55, 'similar?': 0.79, 'premature_discard': 7008, 'discarded': 9611, 'used': 1089, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 1089, 'rules_t2': 9611}"
"{'t1': 55, 't2': 192, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 781, 'used': 9919, 'hits_t1': 1089, 'rules_t1': 9611, 'hits_t2': 9919, 'rules_t2': 781}"
