"---------------------> neighborhoodrank SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 370, 't2': 361, 'similar?': 0.68, 'premature_discard': 0, 'discarded': 3015, 'used': 7175, 'hits_t1': 0, 'rules_t1': 10490, 'hits_t2': 7175, 'rules_t2': 3378}"
"{'t1': 361, 't2': 469, 'similar?': 0.76, 'premature_discard': 0, 'discarded': 2491, 'used': 7806, 'hits_t1': 7175, 'rules_t1': 3378, 'hits_t2': 7806, 'rules_t2': 2491}"
"{'t1': 469, 't2': 54, 'similar?': 0.7, 'premature_discard': 276, 'discarded': 3096, 'used': 7175, 'hits_t1': 7806, 'rules_t1': 2491, 'hits_t2': 7175, 'rules_t2': 3096}"
"{'t1': 54, 't2': 304, 'similar?': 0.68, 'premature_discard': 373, 'discarded': 3340, 'used': 7175, 'hits_t1': 7175, 'rules_t1': 3096, 'hits_t2': 7175, 'rules_t2': 3340}"
"{'t1': 304, 't2': 684, 'similar?': 0.72, 'premature_discard': 190, 'discarded': 2744, 'used': 7175, 'hits_t1': 7175, 'rules_t1': 3340, 'hits_t2': 7175, 'rules_t2': 2744}"
"{'t1': 684, 't2': 618, 'similar?': 0.66, 'premature_discard': 587, 'discarded': 3340, 'used': 6579, 'hits_t1': 7175, 'rules_t1': 2744, 'hits_t2': 6579, 'rules_t2': 3340}"
"{'t1': 618, 't2': 669, 'similar?': 0.67, 'premature_discard': 325, 'discarded': 3474, 'used': 7175, 'hits_t1': 6579, 'rules_t1': 3340, 'hits_t2': 7175, 'rules_t2': 3474}"
"{'t1': 669, 't2': 200, 'similar?': 0.49, 'premature_discard': 131, 'discarded': 5229, 'used': 4991, 'hits_t1': 7175, 'rules_t1': 3474, 'hits_t2': 4991, 'rules_t2': 5229}"
"{'t1': 200, 't2': 30, 'similar?': 0.62, 'premature_discard': 105, 'discarded': 4072, 'used': 6579, 'hits_t1': 4991, 'rules_t1': 5229, 'hits_t2': 6579, 'rules_t2': 4072}"
"{'t1': 30, 't2': 941, 'similar?': 0.69, 'premature_discard': 66, 'discarded': 3236, 'used': 7175, 'hits_t1': 6579, 'rules_t1': 4072, 'hits_t2': 7175, 'rules_t2': 3236}"
"{'t1': 941, 't2': 270, 'similar?': 0.53, 'premature_discard': 0, 'discarded': 4808, 'used': 5488, 'hits_t1': 7175, 'rules_t1': 3236, 'hits_t2': 5488, 'rules_t2': 4808}"
"{'t1': 270, 't2': 153, 'similar?': 0.72, 'premature_discard': 0, 'discarded': 2744, 'used': 7175, 'hits_t1': 5488, 'rules_t1': 4808, 'hits_t2': 7175, 'rules_t2': 2744}"
"{'t1': 153, 't2': 884, 'similar?': 0.63, 'premature_discard': 286, 'discarded': 3861, 'used': 6579, 'hits_t1': 7175, 'rules_t1': 2744, 'hits_t2': 6579, 'rules_t2': 3861}"
"{'t1': 884, 't2': 375, 'similar?': 0.64, 'premature_discard': 183, 'discarded': 3747, 'used': 6579, 'hits_t1': 6579, 'rules_t1': 3861, 'hits_t2': 6579, 'rules_t2': 3747}"
"{'t1': 375, 't2': 786, 'similar?': 0.57, 'premature_discard': 171, 'discarded': 4606, 'used': 6017, 'hits_t1': 6579, 'rules_t1': 3747, 'hits_t2': 6017, 'rules_t2': 4606}"
"{'t1': 786, 't2': 188, 'similar?': 0.76, 'premature_discard': 0, 'discarded': 2465, 'used': 7806, 'hits_t1': 6017, 'rules_t1': 4606, 'hits_t2': 7806, 'rules_t2': 2465}"
"{'t1': 188, 't2': 683, 'similar?': 0.29, 'premature_discard': 908, 'discarded': 8353, 'used': 2698, 'hits_t1': 7806, 'rules_t1': 2465, 'hits_t2': 2698, 'rules_t2': 8531}"
"{'t1': 683, 't2': 955, 'similar?': 0.36, 'premature_discard': 1936, 'discarded': 8731, 'used': 1540, 'hits_t1': 2698, 'rules_t1': 8531, 'hits_t2': 1540, 'rules_t2': 8731}"
"{'t1': 955, 't2': 593, 'similar?': 0.89, 'premature_discard': 0, 'discarded': 1178, 'used': 9177, 'hits_t1': 1540, 'rules_t1': 8731, 'hits_t2': 9177, 'rules_t2': 1178}"
"{'t1': 593, 't2': 340, 'similar?': 0.57, 'premature_discard': 0, 'discarded': 4587, 'used': 6017, 'hits_t1': 9177, 'rules_t1': 1178, 'hits_t2': 6017, 'rules_t2': 4587}"
"{'t1': 340, 't2': 332, 'similar?': 0.4, 'premature_discard': 2942, 'discarded': 9206, 'used': 1889, 'hits_t1': 6017, 'rules_t1': 4587, 'hits_t2': 1889, 'rules_t2': 9557}"
"{'t1': 332, 't2': 551, 'similar?': 0.81, 'premature_discard': 9159, 'discarded': 11331, 'used': 0, 'hits_t1': 1889, 'rules_t1': 9557, 'hits_t2': 0, 'rules_t2': 11331}"
"{'t1': 551, 't2': 52, 'similar?': 0.73, 'premature_discard': 6325, 'discarded': 9560, 'used': 1140, 'hits_t1': 0, 'rules_t1': 11331, 'hits_t2': 1140, 'rules_t2': 9560}"
"{'t1': 52, 't2': 549, 'similar?': 0.8, 'premature_discard': 6889, 'discarded': 8565, 'used': 2385, 'hits_t1': 1140, 'rules_t1': 9560, 'hits_t2': 2385, 'rules_t2': 9066}"
"{'t1': 549, 't2': 393, 'similar?': 0.39, 'premature_discard': 3269, 'discarded': 10042, 'used': 483, 'hits_t1': 2385, 'rules_t1': 9066, 'hits_t2': 483, 'rules_t2': 10042}"
"{'t1': 393, 't2': 399, 'similar?': 0.33, 'premature_discard': 1856, 'discarded': 8699, 'used': 2324, 'hits_t1': 483, 'rules_t1': 10042, 'hits_t2': 2324, 'rules_t2': 8905}"
"{'t1': 399, 't2': 778, 'similar?': 0.39, 'premature_discard': 2850, 'discarded': 9510, 'used': 1005, 'hits_t1': 2324, 'rules_t1': 8905, 'hits_t2': 1005, 'rules_t2': 9510}"
"{'t1': 778, 't2': 250, 'similar?': 0.37, 'premature_discard': 944, 'discarded': 7370, 'used': 3598, 'hits_t1': 1005, 'rules_t1': 9510, 'hits_t2': 3598, 'rules_t2': 7480}"
"{'t1': 250, 't2': 818, 'similar?': 0.82, 'premature_discard': 9260, 'discarded': 11082, 'used': 0, 'hits_t1': 3598, 'rules_t1': 7480, 'hits_t2': 0, 'rules_t2': 11165}"
"{'t1': 818, 't2': 772, 'similar?': 0.35, 'premature_discard': 2412, 'discarded': 9414, 'used': 1140, 'hits_t1': 0, 'rules_t1': 11165, 'hits_t2': 1140, 'rules_t2': 9414}"
"{'t1': 772, 't2': 860, 'similar?': 0.49, 'premature_discard': 0, 'discarded': 5253, 'used': 4991, 'hits_t1': 1140, 'rules_t1': 9414, 'hits_t2': 4991, 'rules_t2': 5253}"
"{'t1': 860, 't2': 902, 'similar?': 0.57, 'premature_discard': 256, 'discarded': 4606, 'used': 6017, 'hits_t1': 4991, 'rules_t1': 5253, 'hits_t2': 6017, 'rules_t2': 4606}"
"{'t1': 902, 't2': 844, 'similar?': 0.55, 'premature_discard': 64, 'discarded': 4431, 'used': 5488, 'hits_t1': 6017, 'rules_t1': 4606, 'hits_t2': 5488, 'rules_t2': 4431}"
"{'t1': 844, 't2': 714, 'similar?': 0.82, 'premature_discard': 0, 'discarded': 1798, 'used': 8473, 'hits_t1': 5488, 'rules_t1': 4431, 'hits_t2': 8473, 'rules_t2': 1798}"
"{'t1': 714, 't2': 570, 'similar?': 0.34, 'premature_discard': 0, 'discarded': 7018, 'used': 3682, 'hits_t1': 8473, 'rules_t1': 1798, 'hits_t2': 3682, 'rules_t2': 7018}"
"{'t1': 570, 't2': 889, 'similar?': 0.8, 'premature_discard': 6210, 'discarded': 7886, 'used': 3041, 'hits_t1': 3682, 'rules_t1': 7018, 'hits_t2': 3041, 'rules_t2': 8384}"
"{'t1': 889, 't2': 744, 'similar?': 0.35, 'premature_discard': 3114, 'discarded': 10385, 'used': 248, 'hits_t1': 3041, 'rules_t1': 8384, 'hits_t2': 248, 'rules_t2': 10385}"
"{'t1': 744, 't2': 70, 'similar?': 0.31, 'premature_discard': 220, 'discarded': 7397, 'used': 3303, 'hits_t1': 248, 'rules_t1': 10385, 'hits_t2': 3303, 'rules_t2': 7397}"
"{'t1': 70, 't2': 881, 'similar?': 0.73, 'premature_discard': 0, 'discarded': 2894, 'used': 7806, 'hits_t1': 3303, 'rules_t1': 7397, 'hits_t2': 7806, 'rules_t2': 2894}"
"{'t1': 881, 't2': 16, 'similar?': 0.17, 'premature_discard': 0, 'discarded': 8659, 'used': 1793, 'hits_t1': 7806, 'rules_t1': 2894, 'hits_t2': 1793, 'rules_t2': 8659}"
"{'t1': 16, 't2': 802, 'similar?': 0.3, 'premature_discard': 49, 'discarded': 6962, 'used': 2951, 'hits_t1': 1793, 'rules_t1': 8659, 'hits_t2': 2951, 'rules_t2': 6962}"
"{'t1': 802, 't2': 749, 'similar?': 0.58, 'premature_discard': 145, 'discarded': 4412, 'used': 6017, 'hits_t1': 2951, 'rules_t1': 6962, 'hits_t2': 6017, 'rules_t2': 4412}"
"{'t1': 749, 't2': 839, 'similar?': 0.3, 'premature_discard': 105, 'discarded': 6968, 'used': 2951, 'hits_t1': 6017, 'rules_t1': 4412, 'hits_t2': 2951, 'rules_t2': 6968}"
"{'t1': 839, 't2': 856, 'similar?': 0.16, 'premature_discard': 1091, 'discarded': 9965, 'used': 1310, 'hits_t1': 2951, 'rules_t1': 6968, 'hits_t2': 1310, 'rules_t2': 10130}"
"{'t1': 856, 't2': 705, 'similar?': 0.63, 'premature_discard': 7305, 'discarded': 11426, 'used': 0, 'hits_t1': 1310, 'rules_t1': 10130, 'hits_t2': 0, 'rules_t2': 11426}"
"{'t1': 705, 't2': 445, 'similar?': 0.56, 'premature_discard': 4897, 'discarded': 9942, 'used': 758, 'hits_t1': 0, 'rules_t1': 11426, 'hits_t2': 758, 'rules_t2': 9942}"
"{'t1': 445, 't2': 187, 'similar?': 0.63, 'premature_discard': 4794, 'discarded': 8428, 'used': 2575, 'hits_t1': 758, 'rules_t1': 9942, 'hits_t2': 2575, 'rules_t2': 8756}"
"{'t1': 187, 't2': 911, 'similar?': 0.76, 'premature_discard': 8438, 'discarded': 11170, 'used': 0, 'hits_t1': 2575, 'rules_t1': 8756, 'hits_t2': 0, 'rules_t2': 11170}"
"{'t1': 911, 't2': 359, 'similar?': 0.18, 'premature_discard': 361, 'discarded': 8561, 'used': 1358, 'hits_t1': 0, 'rules_t1': 11170, 'hits_t2': 1358, 'rules_t2': 8561}"
"{'t1': 359, 't2': 664, 'similar?': 0.36, 'premature_discard': 0, 'discarded': 6518, 'used': 3682, 'hits_t1': 1358, 'rules_t1': 8561, 'hits_t2': 3682, 'rules_t2': 6518}"
"{'t1': 664, 't2': 769, 'similar?': 0.26, 'premature_discard': 715, 'discarded': 8539, 'used': 2509, 'hits_t1': 3682, 'rules_t1': 6518, 'hits_t2': 2509, 'rules_t2': 8776}"
"{'t1': 769, 't2': 901, 'similar?': 0.5, 'premature_discard': 5452, 'discarded': 11052, 'used': 0, 'hits_t1': 2509, 'rules_t1': 8776, 'hits_t2': 0, 'rules_t2': 11052}"
"{'t1': 901, 't2': 554, 'similar?': 0.33, 'premature_discard': 1149, 'discarded': 7867, 'used': 2052, 'hits_t1': 0, 'rules_t1': 11052, 'hits_t2': 2052, 'rules_t2': 7867}"
"{'t1': 554, 't2': 358, 'similar?': 0.57, 'premature_discard': 100, 'discarded': 4569, 'used': 6017, 'hits_t1': 2052, 'rules_t1': 7867, 'hits_t2': 6017, 'rules_t2': 4569}"
"{'t1': 358, 't2': 898, 'similar?': 0.52, 'premature_discard': 0, 'discarded': 5027, 'used': 5488, 'hits_t1': 6017, 'rules_t1': 4569, 'hits_t2': 5488, 'rules_t2': 5027}"
"{'t1': 898, 't2': 213, 'similar?': 0.62, 'premature_discard': 153, 'discarded': 4007, 'used': 6579, 'hits_t1': 5488, 'rules_t1': 5027, 'hits_t2': 6579, 'rules_t2': 4007}"
"{'t1': 213, 't2': 638, 'similar?': 0.25, 'premature_discard': 0, 'discarded': 7754, 'used': 2625, 'hits_t1': 6579, 'rules_t1': 4007, 'hits_t2': 2625, 'rules_t2': 7754}"
"{'t1': 638, 't2': 236, 'similar?': 0.18, 'premature_discard': 1562, 'discarded': 10270, 'used': 907, 'hits_t1': 2625, 'rules_t1': 7754, 'hits_t2': 907, 'rules_t2': 10385}"
"{'t1': 236, 't2': 492, 'similar?': 0.39, 'premature_discard': 2821, 'discarded': 9526, 'used': 1014, 'hits_t1': 907, 'rules_t1': 10385, 'hits_t2': 1014, 'rules_t2': 9526}"
"{'t1': 492, 't2': 320, 'similar?': 0.27, 'premature_discard': 492, 'discarded': 8226, 'used': 2665, 'hits_t1': 1014, 'rules_t1': 9526, 'hits_t2': 2665, 'rules_t2': 8252}"
"{'t1': 320, 't2': 631, 'similar?': 0.23, 'premature_discard': 276, 'discarded': 8297, 'used': 2024, 'hits_t1': 2665, 'rules_t1': 8252, 'hits_t2': 2024, 'rules_t2': 8297}"
"{'t1': 631, 't2': 24, 'similar?': 0.34, 'premature_discard': 26, 'discarded': 6498, 'used': 3303, 'hits_t1': 2024, 'rules_t1': 8297, 'hits_t2': 3303, 'rules_t2': 6498}"
"{'t1': 24, 't2': 552, 'similar?': 0.57, 'premature_discard': 0, 'discarded': 4494, 'used': 6017, 'hits_t1': 3303, 'rules_t1': 6498, 'hits_t2': 6017, 'rules_t2': 4494}"
"{'t1': 552, 't2': 806, 'similar?': 0.28, 'premature_discard': 0, 'discarded': 7747, 'used': 2951, 'hits_t1': 6017, 'rules_t1': 4494, 'hits_t2': 2951, 'rules_t2': 7747}"
"{'t1': 806, 't2': 32, 'similar?': 0.18, 'premature_discard': 64, 'discarded': 8431, 'used': 1793, 'hits_t1': 2951, 'rules_t1': 7747, 'hits_t2': 1793, 'rules_t2': 8431}"
"{'t1': 32, 't2': 762, 'similar?': 0.44, 'premature_discard': 0, 'discarded': 5746, 'used': 4525, 'hits_t1': 1793, 'rules_t1': 8431, 'hits_t2': 4525, 'rules_t2': 5746}"
"{'t1': 762, 't2': 321, 'similar?': 0.14, 'premature_discard': 688, 'discarded': 9980, 'used': 1091, 'hits_t1': 4525, 'rules_t1': 5746, 'hits_t2': 1091, 'rules_t2': 10015}"
"{'t1': 321, 't2': 707, 'similar?': 0.25, 'premature_discard': 1388, 'discarded': 9493, 'used': 1130, 'hits_t1': 1091, 'rules_t1': 10015, 'hits_t2': 1130, 'rules_t2': 9493}"
"{'t1': 707, 't2': 150, 'similar?': 0.24, 'premature_discard': 1635, 'discarded': 9799, 'used': 1232, 'hits_t1': 1130, 'rules_t1': 9493, 'hits_t2': 1232, 'rules_t2': 9934}"
"{'t1': 150, 't2': 661, 'similar?': 0.39, 'premature_discard': 2093, 'discarded': 8622, 'used': 1825, 'hits_t1': 1232, 'rules_t1': 9934, 'hits_t2': 1825, 'rules_t2': 8622}"
"{'t1': 661, 't2': 192, 'similar?': 0.25, 'premature_discard': 250, 'discarded': 8075, 'used': 2625, 'hits_t1': 1825, 'rules_t1': 8622, 'hits_t2': 2625, 'rules_t2': 8075}"
"{'t1': 192, 't2': 504, 'similar?': 0.13, 'premature_discard': 35, 'discarded': 8974, 'used': 1350, 'hits_t1': 2625, 'rules_t1': 8075, 'hits_t2': 1350, 'rules_t2': 8974}"
"{'t1': 504, 't2': 55, 'similar?': 0.13, 'premature_discard': 529, 'discarded': 9350, 'used': 1350, 'hits_t1': 1350, 'rules_t1': 8974, 'hits_t2': 1350, 'rules_t2': 9350}"
"{'t1': 55, 't2': 237, 'similar?': 0.36, 'premature_discard': 63, 'discarded': 6563, 'used': 3682, 'hits_t1': 1350, 'rules_t1': 9350, 'hits_t2': 3682, 'rules_t2': 6563}"
"{'t1': 237, 't2': 412, 'similar?': 0.94, 'premature_discard': 0, 'discarded': 589, 'used': 9919, 'hits_t1': 3682, 'rules_t1': 6563, 'hits_t2': 9919, 'rules_t2': 589}"
"{'t1': 412, 't2': 206, 'similar?': 0.86, 'premature_discard': 0, 'discarded': 1519, 'used': 9177, 'hits_t1': 9919, 'rules_t1': 589, 'hits_t2': 9177, 'rules_t2': 1519}"
"{'t1': 206, 't2': 759, 'similar?': 0.89, 'premature_discard': 0, 'discarded': 1094, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 1519, 'hits_t2': 9177, 'rules_t2': 1094}"
"{'t1': 759, 't2': 730, 'similar?': 0.89, 'premature_discard': 0, 'discarded': 1146, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 1094, 'hits_t2': 9177, 'rules_t2': 1146}"
"{'t1': 730, 't2': 135, 'similar?': 0.29, 'premature_discard': 0, 'discarded': 7331, 'used': 2951, 'hits_t1': 9177, 'rules_t1': 1146, 'hits_t2': 2951, 'rules_t2': 7331}"
"{'t1': 135, 't2': 668, 'similar?': 0.34, 'premature_discard': 76, 'discarded': 6477, 'used': 3303, 'hits_t1': 2951, 'rules_t1': 7331, 'hits_t2': 3303, 'rules_t2': 6477}"
"{'t1': 668, 't2': 435, 'similar?': 0.27, 'premature_discard': 311, 'discarded': 8147, 'used': 2846, 'hits_t1': 3303, 'rules_t1': 6477, 'hits_t2': 2846, 'rules_t2': 8267}"
"{'t1': 435, 't2': 561, 'similar?': 0.15, 'premature_discard': 530, 'discarded': 9206, 'used': 990, 'hits_t1': 2846, 'rules_t1': 8267, 'hits_t2': 990, 'rules_t2': 9206}"
"{'t1': 561, 't2': 333, 'similar?': 0.43, 'premature_discard': 0, 'discarded': 5913, 'used': 4525, 'hits_t1': 990, 'rules_t1': 9206, 'hits_t2': 4525, 'rules_t2': 5913}"
"{'t1': 333, 't2': 101, 'similar?': 0.28, 'premature_discard': 116, 'discarded': 7666, 'used': 2951, 'hits_t1': 4525, 'rules_t1': 5913, 'hits_t2': 2951, 'rules_t2': 7666}"
"{'t1': 101, 't2': 832, 'similar?': 0.23, 'premature_discard': 1339, 'discarded': 9567, 'used': 1464, 'hits_t1': 2951, 'rules_t1': 7666, 'hits_t2': 1464, 'rules_t2': 9725}"
