"---------------------> roundrobin SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 0, 't2': 1, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 7963, 'used': 2324, 'hits_t1': 0, 'rules_t1': 10442, 'hits_t2': 2324, 'rules_t2': 8374}"
"{'t1': 1, 't2': 2, 'similar?': 0.44, 'premature_discard': 4487, 'discarded': 10349, 'used': 811, 'hits_t1': 2324, 'rules_t1': 8374, 'hits_t2': 811, 'rules_t2': 10520}"
"{'t1': 2, 't2': 3, 'similar?': 0.53, 'premature_discard': 6174, 'discarded': 11338, 'used': 0, 'hits_t1': 811, 'rules_t1': 10520, 'hits_t2': 0, 'rules_t2': 11365}"
"{'t1': 3, 't2': 4, 'similar?': 0.13, 'premature_discard': 643, 'discarded': 9908, 'used': 560, 'hits_t1': 0, 'rules_t1': 11365, 'hits_t2': 560, 'rules_t2': 9908}"
"{'t1': 4, 't2': 5, 'similar?': 0.36, 'premature_discard': 0, 'discarded': 5874, 'used': 3303, 'hits_t1': 560, 'rules_t1': 9908, 'hits_t2': 3303, 'rules_t2': 5874}"
"{'t1': 5, 't2': 6, 'similar?': 0.15, 'premature_discard': 380, 'discarded': 8779, 'used': 1561, 'hits_t1': 3303, 'rules_t1': 5874, 'hits_t2': 1561, 'rules_t2': 8779}"
"{'t1': 6, 't2': 7, 'similar?': 0.42, 'premature_discard': 0, 'discarded': 5615, 'used': 4089, 'hits_t1': 1561, 'rules_t1': 8779, 'hits_t2': 4089, 'rules_t2': 5615}"
"{'t1': 7, 't2': 8, 'similar?': 0.05, 'premature_discard': 0, 'discarded': 10156, 'used': 575, 'hits_t1': 4089, 'rules_t1': 5615, 'hits_t2': 575, 'rules_t2': 10156}"
"{'t1': 8, 't2': 9, 'similar?': 0.09, 'premature_discard': 1191, 'discarded': 11057, 'used': 171, 'hits_t1': 575, 'rules_t1': 10156, 'hits_t2': 171, 'rules_t2': 11123}"
"{'t1': 9, 't2': 10, 'similar?': 0.29, 'premature_discard': 3679, 'discarded': 11354, 'used': 0, 'hits_t1': 171, 'rules_t1': 11123, 'hits_t2': 0, 'rules_t2': 11440}"
"{'t1': 10, 't2': 11, 'similar?': 0.3, 'premature_discard': 979, 'discarded': 8142, 'used': 1771, 'hits_t1': 0, 'rules_t1': 11440, 'hits_t2': 1771, 'rules_t2': 8142}"
"{'t1': 11, 't2': 12, 'similar?': 0.08, 'premature_discard': 81, 'discarded': 9596, 'used': 833, 'hits_t1': 1771, 'rules_t1': 8142, 'hits_t2': 833, 'rules_t2': 9596}"
"{'t1': 12, 't2': 13, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 8342, 'used': 833, 'hits_t1': 833, 'rules_t1': 9596, 'hits_t2': 833, 'rules_t2': 8342}"
"{'t1': 13, 't2': 14, 'similar?': 0.23, 'premature_discard': 183, 'discarded': 8002, 'used': 2324, 'hits_t1': 833, 'rules_t1': 8342, 'hits_t2': 2324, 'rules_t2': 8002}"
"{'t1': 14, 't2': 15, 'similar?': 0.05, 'premature_discard': 258, 'discarded': 10493, 'used': 555, 'hits_t1': 2324, 'rules_t1': 8002, 'hits_t2': 555, 'rules_t2': 10508}"
"{'t1': 15, 't2': 16, 'similar?': 0.11, 'premature_discard': 580, 'discarded': 9892, 'used': 560, 'hits_t1': 555, 'rules_t1': 10508, 'hits_t2': 560, 'rules_t2': 9892}"
"{'t1': 16, 't2': 17, 'similar?': 0.23, 'premature_discard': 1264, 'discarded': 9369, 'used': 1754, 'hits_t1': 560, 'rules_t1': 9892, 'hits_t2': 1754, 'rules_t2': 9524}"
