"---------------------> roundrobin SCHEDULLER, CACHE WITH 100% AND CHUNK OF (1000) -----------------"
"{'t1': 0, 't2': 1, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 0, 'used': 2324, 'hits_t1': 0, 'rules_t1': 10442, 'hits_t2': 2324, 'rules_t2': 8374}"
"{'t1': 1, 't2': 2, 'similar?': 0.44, 'premature_discard': 0, 'discarded': 0, 'used': 5292, 'hits_t1': 2324, 'rules_t1': 8374, 'hits_t2': 5292, 'rules_t2': 6039}"
"{'t1': 2, 't2': 3, 'similar?': 0.53, 'premature_discard': 0, 'discarded': 0, 'used': 6396, 'hits_t1': 5292, 'rules_t1': 6039, 'hits_t2': 6396, 'rules_t2': 4969}"
"{'t1': 3, 't2': 4, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 2769, 'hits_t1': 6396, 'rules_t1': 4969, 'hits_t2': 2769, 'rules_t2': 7699}"
"{'t1': 4, 't2': 5, 'similar?': 0.36, 'premature_discard': 0, 'discarded': 0, 'used': 3840, 'hits_t1': 2769, 'rules_t1': 7699, 'hits_t2': 3840, 'rules_t2': 5337}"
"{'t1': 5, 't2': 6, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 0, 'used': 5364, 'hits_t1': 3840, 'rules_t1': 5337, 'hits_t2': 5364, 'rules_t2': 4976}"
"{'t1': 6, 't2': 7, 'similar?': 0.42, 'premature_discard': 0, 'discarded': 0, 'used': 4991, 'hits_t1': 5364, 'rules_t1': 4976, 'hits_t2': 4991, 'rules_t2': 4713}"
"{'t1': 7, 't2': 8, 'similar?': 0.05, 'premature_discard': 0, 'discarded': 0, 'used': 2433, 'hits_t1': 4991, 'rules_t1': 4713, 'hits_t2': 2433, 'rules_t2': 8298}"
"{'t1': 8, 't2': 9, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 0, 'used': 5715, 'hits_t1': 2433, 'rules_t1': 8298, 'hits_t2': 5715, 'rules_t2': 5579}"
"{'t1': 9, 't2': 10, 'similar?': 0.29, 'premature_discard': 0, 'discarded': 0, 'used': 9644, 'hits_t1': 5715, 'rules_t1': 5579, 'hits_t2': 9644, 'rules_t2': 1796}"
"{'t1': 10, 't2': 11, 'similar?': 0.3, 'premature_discard': 0, 'discarded': 0, 'used': 4478, 'hits_t1': 9644, 'rules_t1': 1796, 'hits_t2': 4478, 'rules_t2': 5435}"
"{'t1': 11, 't2': 12, 'similar?': 0.08, 'premature_discard': 0, 'discarded': 0, 'used': 4379, 'hits_t1': 4478, 'rules_t1': 5435, 'hits_t2': 4379, 'rules_t2': 6050}"
"{'t1': 12, 't2': 13, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 0, 'used': 5993, 'hits_t1': 4379, 'rules_t1': 6050, 'hits_t2': 5993, 'rules_t2': 3182}"
"{'t1': 13, 't2': 14, 'similar?': 0.23, 'premature_discard': 0, 'discarded': 0, 'used': 8057, 'hits_t1': 5993, 'rules_t1': 3182, 'hits_t2': 8057, 'rules_t2': 2269}"
"{'t1': 14, 't2': 15, 'similar?': 0.05, 'premature_discard': 0, 'discarded': 0, 'used': 3734, 'hits_t1': 8057, 'rules_t1': 2269, 'hits_t2': 3734, 'rules_t2': 7329}"
"{'t1': 15, 't2': 16, 'similar?': 0.11, 'premature_discard': 0, 'discarded': 0, 'used': 7257, 'hits_t1': 3734, 'rules_t1': 7329, 'hits_t2': 7257, 'rules_t2': 3195}"
"{'t1': 16, 't2': 17, 'similar?': 0.23, 'premature_discard': 0, 'discarded': 0, 'used': 6219, 'hits_t1': 7257, 'rules_t1': 3195, 'hits_t2': 6219, 'rules_t2': 5059}"
"{'t1': 17, 't2': 18, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 0, 'used': 5338, 'hits_t1': 6219, 'rules_t1': 5059, 'hits_t2': 5338, 'rules_t2': 5011}"
"{'t1': 18, 't2': 19, 'similar?': 0.06, 'premature_discard': 0, 'discarded': 0, 'used': 6461, 'hits_t1': 5338, 'rules_t1': 5011, 'hits_t2': 6461, 'rules_t2': 3458}"
"{'t1': 19, 't2': 20, 'similar?': 0.66, 'premature_discard': 0, 'discarded': 0, 'used': 6956, 'hits_t1': 6461, 'rules_t1': 3458, 'hits_t2': 6956, 'rules_t2': 2963}"
"{'t1': 20, 't2': 21, 'similar?': 0.14, 'premature_discard': 0, 'discarded': 0, 'used': 8052, 'hits_t1': 6956, 'rules_t1': 2963, 'hits_t2': 8052, 'rules_t2': 3080}"
"{'t1': 21, 't2': 22, 'similar?': 0.49, 'premature_discard': 0, 'discarded': 0, 'used': 7109, 'hits_t1': 8052, 'rules_t1': 3080, 'hits_t2': 7109, 'rules_t2': 3996}"
"{'t1': 22, 't2': 23, 'similar?': 0.17, 'premature_discard': 0, 'discarded': 0, 'used': 6674, 'hits_t1': 7109, 'rules_t1': 3996, 'hits_t2': 6674, 'rules_t2': 3820}"
"{'t1': 23, 't2': 24, 'similar?': 0.3, 'premature_discard': 0, 'discarded': 0, 'used': 7264, 'hits_t1': 6674, 'rules_t1': 3820, 'hits_t2': 7264, 'rules_t2': 2537}"
"{'t1': 24, 't2': 25, 'similar?': 0.14, 'premature_discard': 0, 'discarded': 0, 'used': 8854, 'hits_t1': 7264, 'rules_t1': 2537, 'hits_t2': 8854, 'rules_t2': 2399}"
"{'t1': 25, 't2': 26, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 6757, 'hits_t1': 8854, 'rules_t1': 2399, 'hits_t2': 6757, 'rules_t2': 3596}"
"{'t1': 26, 't2': 27, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 0, 'used': 7625, 'hits_t1': 6757, 'rules_t1': 3596, 'hits_t2': 7625, 'rules_t2': 3013}"
"{'t1': 27, 't2': 28, 'similar?': 0.14, 'premature_discard': 0, 'discarded': 0, 'used': 5394, 'hits_t1': 7625, 'rules_t1': 3013, 'hits_t2': 5394, 'rules_t2': 4371}"
"{'t1': 28, 't2': 29, 'similar?': 0.02, 'premature_discard': 0, 'discarded': 0, 'used': 4752, 'hits_t1': 5394, 'rules_t1': 4371, 'hits_t2': 4752, 'rules_t2': 4517}"
"{'t1': 29, 't2': 30, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 0, 'used': 8270, 'hits_t1': 4752, 'rules_t1': 4517, 'hits_t2': 8270, 'rules_t2': 2381}"
"{'t1': 30, 't2': 31, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 3818, 'hits_t1': 8270, 'rules_t1': 2381, 'hits_t2': 3818, 'rules_t2': 5029}"
"{'t1': 31, 't2': 32, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 0, 'used': 5456, 'hits_t1': 3818, 'rules_t1': 5029, 'hits_t2': 5456, 'rules_t2': 4768}"
"{'t1': 32, 't2': 33, 'similar?': 0.12, 'premature_discard': 0, 'discarded': 0, 'used': 7926, 'hits_t1': 5456, 'rules_t1': 4768, 'hits_t2': 7926, 'rules_t2': 3317}"
