"---------------------> roundrobin SCHEDULLER, CACHE WITH 10% AND CHUNK OF (40) -----------------"
"{'t1': 20, 't2': 21, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 833, 'hits_t1': 0, 'rules_t1': 5488, 'hits_t2': 833, 'rules_t2': 5746}"
"{'t1': 21, 't2': 22, 'similar?': 0.1, 'premature_discard': 0, 'discarded': 0, 'used': 1899, 'hits_t1': 833, 'rules_t1': 5746, 'hits_t2': 1899, 'rules_t2': 4118}"
"{'t1': 22, 't2': 23, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 0, 'used': 1745, 'hits_t1': 1899, 'rules_t1': 4118, 'hits_t2': 1745, 'rules_t2': 3743}"
"{'t1': 23, 't2': 24, 'similar?': 0.08, 'premature_discard': 0, 'discarded': 2965, 'used': 1128, 'hits_t1': 1745, 'rules_t1': 3743, 'hits_t2': 1128, 'rules_t2': 6047}"
"{'t1': 24, 't2': 25, 'similar?': 0.16, 'premature_discard': 0, 'discarded': 4833, 'used': 2342, 'hits_t1': 1128, 'rules_t1': 6047, 'hits_t2': 2342, 'rules_t2': 4833}"
"{'t1': 25, 't2': 26, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 2109, 'used': 2416, 'hits_t1': 2342, 'rules_t1': 4833, 'hits_t2': 2416, 'rules_t2': 2109}"
"{'t1': 26, 't2': 27, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 4046, 'used': 2533, 'hits_t1': 2416, 'rules_t1': 2109, 'hits_t2': 2533, 'rules_t2': 4046}"
"{'t1': 27, 't2': 28, 'similar?': 0.56, 'premature_discard': 0, 'discarded': 2490, 'used': 4089, 'hits_t1': 2533, 'rules_t1': 4046, 'hits_t2': 4089, 'rules_t2': 2490}"
"{'t1': 28, 't2': 29, 'similar?': 0.16, 'premature_discard': 0, 'discarded': 3997, 'used': 2020, 'hits_t1': 4089, 'rules_t1': 2490, 'hits_t2': 2020, 'rules_t2': 3997}"
"{'t1': 29, 't2': 30, 'similar?': 0.12, 'premature_discard': 0, 'discarded': 2121, 'used': 2870, 'hits_t1': 2020, 'rules_t1': 3997, 'hits_t2': 2870, 'rules_t2': 2121}"
"{'t1': 30, 't2': 31, 'similar?': 0.36, 'premature_discard': 0, 'discarded': 2222, 'used': 2769, 'hits_t1': 2870, 'rules_t1': 2121, 'hits_t2': 2769, 'rules_t2': 2222}"
"{'t1': 31, 't2': 32, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 1708, 'used': 3283, 'hits_t1': 2769, 'rules_t1': 2222, 'hits_t2': 3283, 'rules_t2': 1708}"
"{'t1': 32, 't2': 33, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 4130, 'used': 2449, 'hits_t1': 3283, 'rules_t1': 1708, 'hits_t2': 2449, 'rules_t2': 4130}"
"{'t1': 33, 't2': 34, 'similar?': 0.1, 'premature_discard': 0, 'discarded': 2041, 'used': 3447, 'hits_t1': 2449, 'rules_t1': 4130, 'hits_t2': 3447, 'rules_t2': 2041}"
"{'t1': 34, 't2': 35, 'similar?': 0.1, 'premature_discard': 0, 'discarded': 4339, 'used': 2836, 'hits_t1': 3447, 'rules_t1': 2041, 'hits_t2': 2836, 'rules_t2': 4339}"
"{'t1': 35, 't2': 36, 'similar?': 0.2, 'premature_discard': 0, 'discarded': 1914, 'used': 3077, 'hits_t1': 2836, 'rules_t1': 4339, 'hits_t2': 3077, 'rules_t2': 1914}"
"{'t1': 36, 't2': 37, 'similar?': 0.1, 'premature_discard': 0, 'discarded': 3286, 'used': 2731, 'hits_t1': 3077, 'rules_t1': 1914, 'hits_t2': 2731, 'rules_t2': 3286}"
"{'t1': 37, 't2': 38, 'similar?': 0.03, 'premature_discard': 0, 'discarded': 805, 'used': 5774, 'hits_t1': 2731, 'rules_t1': 3286, 'hits_t2': 5774, 'rules_t2': 805}"
"{'t1': 38, 't2': 39, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 6323, 'used': 1483, 'hits_t1': 5774, 'rules_t1': 805, 'hits_t2': 1483, 'rules_t2': 6323}"
#
"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 10% AND CHUNK OF (40) -----------------"
"{'t1': 38, 't2': 33, 'similar?': 1.0, 'premature_discard': 0, 'discarded': 0, 'used': 6579, 'hits_t1': 0, 'rules_t1': 6579, 'hits_t2': 6579, 'rules_t2': 0}"
